pgtable,factype,facsubgrp,facgroup,facdomain,count
nysoasas_facilities_programs,Opioid Treatment Program Chemical Dependency,Chemical Dependency,Health Care,Health and Human Services,62
nysoasas_facilities_programs,Outpatient Chemical Dependency,Chemical Dependency,Health Care,Health and Human Services,163
nysoasas_facilities_programs,Residential Chemical Dependency,Chemical Dependency,Health Care,Health and Human Services,51
acs_facilities_daycareheadstart,Child Care,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",38
acs_facilities_daycareheadstart,Dual Enrollment Child Care/Head Start,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",30
acs_facilities_daycareheadstart,Head Start,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",19
dcas_facilities_colp,Day Care Center,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",5
dcas_facilities_colp,Early Childhood Center,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",12
doe_facilities_schoolsbluebook,DOE Lyfe Program Child Care,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",27
dohmh_facilities_daycare,Group Day Care - Infants/Toddlers,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",166
dohmh_facilities_daycare,Group Day Care - Preschool,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",984
dohmh_facilities_daycare,School Based Child Care - Age Unspecified,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",3
dohmh_facilities_daycare,School Based Child Care - Preschool,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",326
hhs_facilities_financialscontracts,Early Learn NYC: New York City's Early Care and Education Services,Child Care,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",831
doe_facilities_schoolsbluebook,School-Based Food Services,Child Nutrition,Child Services and Welfare,"Education, Child Welfare, and Youth",20
nysed_facilities_activeinstitutions,Feeding Site,Child Nutrition,Child Services and Welfare,"Education, Child Welfare, and Youth",1315
nysed_facilities_activeinstitutions,Summer Only Feeding Site,Child Nutrition,Child Services and Welfare,"Education, Child Welfare, and Youth",1634
nysed_facilities_activeinstitutions,USDA Community Eligibility Option,Child Nutrition,Child Services and Welfare,"Education, Child Welfare, and Youth",229
dcas_facilities_colp,Outdoor Parking,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,46
dcas_facilities_colp,Outdoor Parking - Agency Vehicles,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,36
dcas_facilities_colp,Outdoor Parking - Clients,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,17
dcas_facilities_colp,Outdoor Parking - Employees,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,55
dcas_facilities_colp,Outdoor Parking - Tow Pound,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,5
dot_facilities_parkingfacilities,City Agency Parking,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,4
dpr_parksproperties,Lot,City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,5
dcas_facilities_colp,Agency Executive Office,City Government Offices,,,29
dcas_facilities_colp,Agency Office,City Government Offices,,,101
dcas_facilities_colp,Borough Office,City Government Offices,,,24
dcas_facilities_colp,Field Office,City Government Offices,,,1
dcas_facilities_colp,Field Office-Public,City Government Offices,,,12
dcas_facilities_colp,Field Office-Staff,City Government Offices,,,9
dcas_facilities_colp,Office,City Government Offices,,,569
dcas_facilities_colp,College/University,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",3
dcas_facilities_colp,Community College,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",13
dcas_facilities_colp,In Use-Residential Structure,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",1
dcas_facilities_colp,Senior College,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",9
nysed_facilities_activeinstitutions,2 Year Independent,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",12
nysed_facilities_activeinstitutions,2 Year Proprietary,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",10
nysed_facilities_activeinstitutions,4-Year Independent,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",62
nysed_facilities_activeinstitutions,4 Year Proprietary,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",11
nysed_facilities_activeinstitutions,CUNY - 4 Year College,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",10
nysed_facilities_activeinstitutions,CUNY - Community College,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",8
nysed_facilities_activeinstitutions,CUNY - Graduate Center,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",3
nysed_facilities_activeinstitutions,Graduate Programs Only,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",18
nysed_facilities_activeinstitutions,SUNY - Community Colleges,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",1
nysed_facilities_activeinstitutions,SUNY - Health Science Centers,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",1
nysed_facilities_activeinstitutions,SUNY - Specialized Colleges,Colleges or Universities,Higher Education,"Education, Child Welfare, and Youth",2
dcas_facilities_colp,Community Center,Community Centers and Community School Programs,Human Services,Health and Human Services,7
dcas_facilities_colp,Recreation Center/Gymnasium,Community Centers and Community School Programs,Human Services,Health and Human Services,1
doe_facilities_schoolsbluebook,School-Based Community Based Organization,Community Centers and Community School Programs,Human Services,Health and Human Services,165
doe_facilities_schoolsbluebook,School-Based Community Service,Community Centers and Community School Programs,Human Services,Health and Human Services,8
doe_facilities_schoolsbluebook,School-Based Drug Program,Community Centers and Community School Programs,Human Services,Health and Human Services,4
hhs_facilities_financialscontracts,Community Schools - DOE,Community Centers and Community School Programs,Human Services,Health and Human Services,197
hhs_facilities_proposals,Community Schools - DOE,Community Centers and Community School Programs,Human Services,Health and Human Services,208
dycd_facilities_compass,COMPASS Program,Comprehensive After School System (COMPASS) Sites,Youth Services,"Education, Child Welfare, and Youth",822
dycd_facilities_otherprograms,COMPASS Program,Comprehensive After School System (COMPASS) Sites,Youth Services,"Education, Child Welfare, and Youth",1
hhs_facilities_financialscontracts,COMPASS Program,Comprehensive After School System (COMPASS) Sites,Youth Services,"Education, Child Welfare, and Youth",454
hhs_facilities_fmscontracts,COMPASS Program,Comprehensive After School System (COMPASS) Sites,Youth Services,"Education, Child Welfare, and Youth",5032
dcas_facilities_colp,Courthouse,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",12
nycourts_facilities_courts,Courthouse,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",109
uscourts_facilities_courts,"Federal Defenders of New York, Inc.",Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",2
uscourts_facilities_courts,New York Southern Bankruptcy Court,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,New York Southern District Court,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,New York Southern Pretrial Services,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,New York Southern Probation Office,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,Second Circuit Court of Appeals Clerk,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,Second Circuit Librarian,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",2
uscourts_facilities_courts,United States Court of International Trade,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
uscourts_facilities_courts,United States Court of International Trade Librarian,Courthouses and Judicial,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
dcas_facilities_colp,Custodial,Custodial,"City Agency Parking, Maintenance, and Storage",Administration of Government,41
dcas_facilities_colp,Detention Facility,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
dcas_facilities_colp,Jail,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",3
dcas_facilities_colp,Secure Detention Facility,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",3
fbop_facilities_corrections,Correctional Facility,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
fbop_facilities_corrections,Detention Center,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
fbop_facilities_corrections,Field Office,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
nycdoc_facilities_corrections,Detention Center,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",18
nysdoccs_facilities_corrections,Correctional Facility,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",2
nysdoccs_facilities_corrections,Residential Treatment Facility,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
nysocfs_facilities_facilities,Juvenile Reception Center,Detention and Correctional,Justice and Corrections,"Public Safety, Emergency Services, and Administration of Justice",1
doe_facilities_schoolsbluebook,K-12 School - Unspecified,DOE Universal Pre-Kindergarten,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",27
doe_facilities_universalprek,DOE Universal Pre-K,DOE Universal Pre-Kindergarten,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",674
doe_facilities_universalprek,DOE Universal Pre-K - Charter,DOE Universal Pre-Kindergarten,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",16
doe_facilities_universalprek,Early Education Program,DOE Universal Pre-Kindergarten,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",899
hhs_facilities_proposals,DOE Universal Pre-Kindergarten,DOE Universal Pre-Kindergarten,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",138
doe_facilities_universalprek,Early Education Program,Dual Child Care and Universal Pre-K,Child Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",288
hra_facilities_centers,Child Support Offices,Financial Assistance and Social Services,Human Services,Health and Human Services,10
hra_facilities_centers,HIV/AIDS Services Centers,Financial Assistance and Social Services,Human Services,Health and Human Services,13
hra_facilities_centers,Medicaid Offices,Financial Assistance and Social Services,Human Services,Health and Human Services,13
hra_facilities_centers,SNAP Centers,Financial Assistance and Social Services,Human Services,Health and Human Services,17
dcas_facilities_colp,Firehouse,Fire Services,Emergency Services,"Public Safety, Emergency Services, and Administration of Justice",216
dcas_facilities_colp,Residential Facility For Children,Foster Care Services and Residential Care,Child Services and Welfare,"Education, Child Welfare, and Youth",1
dcas_facilities_colp,Botanical Garden,Gardens,Parks and Plazas,"Parks, Gardens, and Historical Sites",2
dcas_facilities_colp,Community Garden,Gardens,Parks and Plazas,"Parks, Gardens, and Historical Sites",36
dpr_parksproperties,Garden,Gardens,Parks and Plazas,"Parks, Gardens, and Historical Sites",344
nysed_facilities_activeinstitutions,GED-Alternative High School Equivalency Prep Programs,GED and Alternative High School Equivalency,Schools (K-12),"Education, Child Welfare, and Youth",97
doe_facilities_schoolsbluebook,School-Based Health Program,Health Promotion and Disease Prevention,Health Care,Health and Human Services,74
hhs_facilities_proposals,Nurse Family Partnership,Health Promotion and Disease Prevention,Health Care,Health and Human Services,5
dpr_parksproperties,Historic House Park,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",13
nysparks_facilities_historicplaces,State Historic Place,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",794
usnps_facilities_parks,National Historical Park,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",2
usnps_facilities_parks,National Historic Site,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",8
usnps_facilities_parks,National Memorial,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",3
usnps_facilities_parks,National Monument,Historical Sites,Historical Sites,"Parks, Gardens, and Historical Sites",6
nysed_facilities_activeinstitutions,Historical Societies,Historical Societies,Cultural Institutions,Libraries and Cultural Programs,49
dcas_facilities_colp,Ambulatory Health Facility,Hospitals and Clinics,Health Care,Health and Human Services,33
dcas_facilities_colp,Emergency Medical Station,Hospitals and Clinics,Health Care,Health and Human Services,1
dcas_facilities_colp,Health Facility,Hospitals and Clinics,Health Care,Health and Human Services,4
dcas_facilities_colp,Hospital,Hospitals and Clinics,Health Care,Health and Human Services,14
dcas_facilities_colp,Residential Health Care Facility,Hospitals and Clinics,Health Care,Health and Human Services,5
hhs_facilities_proposals,School Based Health Clinic,Hospitals and Clinics,Health Care,Health and Human Services,4
nysdoh_facilities_healthfacilities,Diagnostic and Treatment Center,Hospitals and Clinics,Health Care,Health and Human Services,219
nysdoh_facilities_healthfacilities,Diagnostic and Treatment Center Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,290
nysdoh_facilities_healthfacilities,Hospital,Hospitals and Clinics,Health Care,Health and Human Services,59
nysdoh_facilities_healthfacilities,Hospital Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,253
nysdoh_facilities_healthfacilities,Mobile Diagnostic and Treatment Center Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,10
nysdoh_facilities_healthfacilities,Mobile Hospital Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,4
nysdoh_facilities_healthfacilities,School Based Diagnostic and Treatment Center,Hospitals and Clinics,Health Care,Health and Human Services,1
nysdoh_facilities_healthfacilities,School Based Diagnostic and Treatment Center Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,90
nysdoh_facilities_healthfacilities,School Based Hospital Extension Clinic,Hospitals and Clinics,Health Care,Health and Human Services,105
hhs_facilities_financialscontracts,Emergency Intervention Services,Legal and Intervention Services,Human Services,Health and Human Services,50
hhs_facilities_proposals,Arches: A Transformative Mentoring Intervention,Legal and Intervention Services,Human Services,Health and Human Services,11
hhs_facilities_proposals,Emergency Intervention Services,Legal and Intervention Services,Human Services,Health and Human Services,11
hhs_facilities_proposals,Legal Services Initiatives,Legal and Intervention Services,Human Services,Health and Human Services,109
hhs_facilities_proposals,Teen Rapp,Legal and Intervention Services,Human Services,Health and Human Services,3
dcas_facilities_colp,Facilities Maintenance,Maintenance and Garages,"City Agency Parking, Maintenance, and Storage",Administration of Government,6
dcas_facilities_colp,Garage,Maintenance and Garages,"City Agency Parking, Maintenance, and Storage",Administration of Government,43
dcas_facilities_colp,Maintenance,Maintenance and Garages,"City Agency Parking, Maintenance, and Storage",Administration of Government,17
dcas_facilities_colp,Vehicle Maintenance,Maintenance and Garages,"City Agency Parking, Maintenance, and Storage",Administration of Government,10
dcas_facilities_colp,Asphalt Plant,Material Supplies,Material Supplies and Markets,Core Infrastructure and Transportation,1
dcas_facilities_colp,Material Processing Facility,Material Supplies,Material Supplies and Markets,Core Infrastructure and Transportation,2
dot_facilities_mannedfacilities,Asphalt Plant,Material Supplies,Material Supplies and Markets,Core Infrastructure and Transportation,1
hhs_facilities_fmscontracts,Outreach Mental Health,Mental Health,Health Care,Health and Human Services,6
hhs_facilities_proposals,Crisis Services Mental Health,Mental Health,Health Care,Health and Human Services,2
hhs_facilities_proposals,Screening Mental Health,Mental Health,Health Care,Health and Human Services,7
nysomh_facilities_mentalhealth,Emergency Mental Health,Mental Health,Health Care,Health and Human Services,55
nysomh_facilities_mentalhealth,Inpatient Mental Health,Mental Health,Health Care,Health and Human Services,51
nysomh_facilities_mentalhealth,Outpatient Mental Health,Mental Health,Health Care,Health and Human Services,309
nysomh_facilities_mentalhealth,Residential Mental Health,Mental Health,Health Care,Health and Human Services,681
nysomh_facilities_mentalhealth,Support Mental Health,Mental Health,Health Care,Health and Human Services,328
dcas_facilities_colp,Health Facility,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,In Use-Residential Structure,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,No Use,Miscellaneous Use,Other Property,Administration of Government,105
dcas_facilities_colp,No Use-Non Residential Structure,Miscellaneous Use,Other Property,Administration of Government,42
dcas_facilities_colp,No Use-Residential Structure,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,No Use-Vacant Land,Miscellaneous Use,Other Property,Administration of Government,136
dcas_facilities_colp,No Use-Waterfront (Any Agency),Miscellaneous Use,Other Property,Administration of Government,37
dcas_facilities_colp,Open Space,Miscellaneous Use,Other Property,Administration of Government,3
dcas_facilities_colp,Pier - No Use,Miscellaneous Use,Other Property,Administration of Government,3
dcas_facilities_colp,Retail,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,Security,Miscellaneous Use,Other Property,Administration of Government,10
dcas_facilities_colp,Testing Facility,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,Theater,Miscellaneous Use,Other Property,Administration of Government,1
dcas_facilities_colp,Undeveloped Open Space,Miscellaneous Use,Other Property,Administration of Government,41
dcas_facilities_colp,Waterfront Property,Miscellaneous Use,Other Property,Administration of Government,24
dpr_parksproperties,Undeveloped,Miscellaneous Use,Other Property,Administration of Government,51
dcas_facilities_colp,Museum/Gallery,Museums,Cultural Institutions,Libraries and Cultural Programs,15
dcla_facilities_culturalinstitutions,Museum,Museums,Cultural Institutions,Libraries and Cultural Programs,93
nysed_facilities_activeinstitutions,Private Museums And Sites,Museums,Cultural Institutions,Libraries and Cultural Programs,2
nysed_facilities_activeinstitutions,Public Museums And Sites,Museums,Cultural Institutions,Libraries and Cultural Programs,23
nysed_facilities_activeinstitutions,Elementary School - Non-public,Non-Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",642
nysed_facilities_activeinstitutions,High School - Non-public,Non-Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",124
nysed_facilities_activeinstitutions,Middle School - Non-public,Non-Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",32
nysed_facilities_activeinstitutions,School - Non-public,Non-Public K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",29
dcas_facilities_colp,Special Recreational Facility - Indoor,Non-residential Housing and Homeless Services,Human Services,Health and Human Services,1
dcas_facilities_colp,Special Recreational Facility - Outdoor,Non-residential Housing and Homeless Services,Human Services,Health and Human Services,2
dhs_facilities_shelters,Drop In,Non-residential Housing and Homeless Services,Human Services,Health and Human Services,5
doe_facilities_schoolsbluebook,School Administration Site,Offices,"Offices, Training, and Testing",Administration of Government,33
dcas_facilities_colp,Botanical Garden,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,4
dcas_facilities_colp,Cultural Facility,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,12
dcas_facilities_colp,In Use-Tenanted,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,1
dcas_facilities_colp,Theater,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,4
dcas_facilities_colp,Zoo/Aquarium,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,1
dcla_facilities_culturalinstitutions,Architecture/Design,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,26
dcla_facilities_culturalinstitutions,Botanical,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,4
dcla_facilities_culturalinstitutions,Crafts,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,4
dcla_facilities_culturalinstitutions,Dance,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,199
dcla_facilities_culturalinstitutions,Film/Video/Audio,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,94
dcla_facilities_culturalinstitutions,Folk Arts,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,28
dcla_facilities_culturalinstitutions,Humanities,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,25
dcla_facilities_culturalinstitutions,Literature,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,50
dcla_facilities_culturalinstitutions,"Multi-Discipline, Non-Perform",Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,97
dcla_facilities_culturalinstitutions,"Multi-Discipline, Performing",Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,194
dcla_facilities_culturalinstitutions,"Multi-Discipl, Perf & Non-Perf",Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,239
dcla_facilities_culturalinstitutions,Music,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,325
dcla_facilities_culturalinstitutions,New Media,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,16
dcla_facilities_culturalinstitutions,Other,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,26
dcla_facilities_culturalinstitutions,Photography,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,12
dcla_facilities_culturalinstitutions,Science,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,4
dcla_facilities_culturalinstitutions,Theater,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,377
dcla_facilities_culturalinstitutions,Unspecified Discipline,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,16
dcla_facilities_culturalinstitutions,Visual Arts,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,136
dcla_facilities_culturalinstitutions,Zoo,Other Cultural Institutions,Cultural Institutions,Libraries and Cultural Programs,3
dcas_facilities_colp,Ambulance Station,Other Emergency Services,Emergency Services,"Public Safety, Emergency Services, and Administration of Justice",30
dcas_facilities_colp,Emergency Medical Station,Other Emergency Services,Emergency Services,"Public Safety, Emergency Services, and Administration of Justice",2
dcas_facilities_colp,Health Facility,Other Health Care,Health Care,Health and Human Services,3
dcas_facilities_colp,Testing Laboratory,Other Health Care,Health Care,Health and Human Services,1
hhs_facilities_fmscontracts,Epilepsy Education,Other Health Care,Health Care,Health and Human Services,1
nysdoh_facilities_healthfacilities,Adult Day Health Care Program - Offsite,Other Health Care,Health Care,Health and Human Services,24
nysdoh_facilities_healthfacilities,Certified Home Health Agency,Other Health Care,Health Care,Health and Human Services,36
nysdoh_facilities_healthfacilities,Long Term Home Health Care Program,Other Health Care,Health Care,Health and Human Services,13
dcas_facilities_colp,Public Safety Facility,Other Public Safety,Public Safety,"Public Safety, Emergency Services, and Administration of Justice",34
dcas_facilities_colp,Transportation Facility,Other Transportation,Transportation,Core Infrastructure and Transportation,67
dot_facilities_bridgehouses,Bridge House,Other Transportation,Transportation,Core Infrastructure and Transportation,35
dot_facilities_mannedfacilities,"Borough Commissioner’s Office, Bridge Engineering, Safety Educ, EEO",Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,"Borough Commissioner’s Office, Highway Inspection and Quality Assurance",Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,"Borough Commissioner’s Office, Highway Inspection and Quality Assurance, Roadway Repair and Maintenance Admin",Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,"Borough Commissioner’s Office, Permits, Roadway Repair and Maintenance Admin",Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,"Borough Commissioner’s Office, Roadway Repair and Maintenance Admin",Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Bridge Bent - Field Operations,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Bridge Paint,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Bridge Repair,Other Transportation,Transportation,Core Infrastructure and Transportation,13
dot_facilities_mannedfacilities,Bridge Repair & Paint,Other Transportation,Transportation,Core Infrastructure and Transportation,2
dot_facilities_mannedfacilities,Bridges/PM,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Bridges & Tunnels Ops,Other Transportation,Transportation,Core Infrastructure and Transportation,2
dot_facilities_mannedfacilities,Bronx Roadway Repair and Maintenance Arterials,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Construction Mitigation and Coordination / Bridge Inspection,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,DOT Headquarters,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Facilities Maintenance Shop,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Ferry Maintenance,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Ferry Ops,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Manned Transportation Facility,Other Transportation,Transportation,Core Infrastructure and Transportation,3
dot_facilities_mannedfacilities,MTS Shed/Trailer,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Parking Meters / Signals / Sidewalk and Inspection Management,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Parking /Signals/Streetlights,Other Transportation,Transportation,Core Infrastructure and Transportation,1
dot_facilities_mannedfacilities,Roadway Repair and Maintenance,Other Transportation,Transportation,Core Infrastructure and Transportation,3
