facdomain, facdomain_desc, facdomain_color, facdomain_icon, facgroup, facgroup_desc, facsubgrp, facsubgrp_desc
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities","public_safety_emergency_services_and_administration_of_justice","#2979FF","ambulance"
"","","","","Emergency Services","Services provided by Fire Dept. of New York"
"","","","","","","Fire Services","Firehouses"
"","","","","","","Other Emergency Services","Ambulance and Emergency Medical Stations"
"","","","","Public Safety","Services provided by New York Police Dept. and New York Housing Authority Police"
"","","","","","","Police Services","NYPD and NYCHA police stations"
"","","","","","","School-Based Safety Program","Public safety program on a school campus"
"","","","","","","Other Public Safety","Other public safety related support centers"
"","","","","Justice and Corrections","Courts and correctional facilities operated by NYC. Dept. of Correction, NYS Unified Court System, NYS Dept. of Corrections and Community Supervision, US Courts, and Federal Bureau of Prisons"
"","","","","","","Courthouses and Judicial","Courthouses, clerk offices, and court librarians"
"","","","","","","Detention and Correctional","Correctional and dentention centers"
"Health and Human Services","Health and social service providers, including hospitals, legal services, and homeless shelters","health_and_human_services","#BA68C8","heart"
"","","","","Health Care","Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services"
"","","","","","","Hospitals and Clinics","Urgent care hospitals, diagnostic and treatment centers, and school-based health facilities"
"","","","","","","Mental Health","Inpatient, outpatient, and emergency mental health services"
"","","","","","","Residential Health Care","Nursing homes, hospice care, and supportive housing"
"","","","","","","Chemical Dependency","Monitored support, inpatient, outpatient, and crisis services"
"","","","","","","Health Promotion and Disease Prevention","Programs focused on improving health through education and disease prevention"
"","","","","","","Other Health Care","Rehab, respite servies, vaccination services, AIDS counseling, and home health centers"
"","","","","Human Services","Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others"
"","","","","","","Senior Services","Neighborhood senior centers, meal delivery programs, and other services for seniors"
"","","","","","","Community Centers and Community School Programs","Community centers that provide multiple social services at one site"
"","","","","","","Financial Assistance and Social Services","SNAP, Child Support, and Medicaid Centers operated by NYC Human Resources Administration"
"","","","","","","Workforce Development","Workforce 1 Centers and other vocational services for adults"
"","","","","","","Legal and Intervention Services","Early intervention, criminal defense, and mediation services"
"","","","","","","Programs for People with Disabilities","Specialized child care, caregiver support, and recreational services"
"","","","","","","Shelters and Transitional Housing","NOTE: These records will be incorporated soon, once the data is finished being assembled for inclusion in the database."
"","","","","","","Non-residential Housing and Homeless Services","Non-residential homelessness prevention services"
"","","","","","","Soup Kitchens and Food Pantries","Soup kitchens and food pantries"
"Core Infrastructure and Transportation","Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants","core_infrastructure_and_transportation","#8D8EAA","bus"
"","","","","Solid Waste","Sites overseen and operated by NYC Dept. of Sanitation, NYC Business Integrity Commission, and NYS Dept. of Conservation"
"","","","","","","Solid Waste Processing","Material recovery, composting, landfill gas recovery, and scrap metal processing facilities"
"","","","","","","Solid Waste Transfer and Carting","Waste carter sites and transfer stations"
"","","","","Water and Wastewater","Sites overseen and operated by NYC Dept. of Environmental Protection"
"","","","","","","Wastewater and Pollution Control","Wastewater treatment plants and other sites related to wastewater conveyance and pollution control"
"","","","","","","Water Supply","Sites related to water supply"
"","","","","Transportation","Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others"
"","","","","","","Parking Lots and Garages","Publicly and commerially operated parking lots and garages"
"","","","","","","Bus Depots and Terminals","School bus depots, MTA bus depots, and Port Authority bus terminals"
"","","","","","","Rail Yards and Maintenance","Rail yards and maintenance facilities"
"","","","","","","Ports and Ferry Landings","Ferry landings, cruise terminals, and ports"
"","","","","","","Airports and Heliports","Publicly and privately operated airports, heliports, and seaplane bases"
"","","","","","","Other Transportation","Uncategorized transportation related sites"
"","","","","Telecommunications","Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services"
"","","","","","","Telecommunications","Antennas and other telecommunications sites"
"","","","","Material Supplies and Markets","Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services"
"","","","","","","Material Supplies","Asphalt plants and other material processing facilities"
"","","","","","","Wholesale Markets","Wholesale food and commercial markets"
"Administration of Government","Sites owned or leased by the City for administration, operations, and maintenance","administration_of_government","#CBCBD6","bar-chart"
"","","","","Offices, Training, and Testing","All City owned or leased offices overseen by Dept. of Citywide Administrative Services"
"","","","","","","Offices","Offices used by City agencies"
"","","","","","","Training and Testing","Training and testing sites used by City agencies"
"","","","","City Agency Parking, Maintenance, and Storage","City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services"
"","","","","","","Custodial","City agency custodial sites"
"","","","","","","Maintenance and Garages","City agency vehicle maintenance sites"
"","","","","","","City Agency Parking","City agency parking lots"
"","","","","","","Storage","City agency storage sites"
"","","","","Other Property","City owned or leased property without a categorized use overseen by Dept. of Citywide Administrative Services"
"","","","","","","Miscellaneous Use","Property without a categorized use"
"","","","","","","Properties Leased or Licensed to Non-public Entities","Properties Leased or Licensed to Non-public Entities"
