uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,geom
3113,,,"Open Channels New York, Inc.",,,161a Chrystie Street,New York,Manhattan,1,10002,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,"Multi-Discipl, Perf & Non-Perf",,,,,,,,Non-public,"Open Channels New York, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
24313,,NYCDYCD: 50109,Sheltering Arms,150-40,Shore ave,150-40 Shore ave,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Safe Space NYC, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
24554,,,B&A Demolition & Removal,70,New Street,70 New Street,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,B&A Demolition & Removal,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000A64D1357236A52C0EB4298C496514440
73237,,NYSOMH: 905099-0005-203,Renaissance House,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Creedmoor PSychiatric Center,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
6546,,,"Double J Construction Services, LLC",5,Shady Ridge Ct,5 Shady Ridge Ct,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Double J Construction Services, LLC",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000B0B11EC491AF52C0C83F1186F8074440
73782,,NYSOMH: 716099-7296-630,Goddard NYC DMH NY/NY I - Corner House Supported SRO,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Goddard Riverside Community Center,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
75129,,NYCHHS: CT106820171403592,Babove 39,,,1362-49th Street,Brooklyn,Brooklyn,,11219,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,B'Above Worldwide Institute Inc,Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
24392,,,Njc Carting Corp.,29,Greenfield Lane,29 Greenfield Lane,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Njc Carting Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000E830BEBF665252C04017BE53776D4440
74096,,NYSOMH: 463099-6841-433,TSNY Apartment Program,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Transitional Services for New York Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73946,,NYSOMH: 514099-8032-635,Fed of Org Supported Housing/Queens - Comm. Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Federation of Org. f/t NYS Ment.Disabled Inc,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
21878,,NYCDYCD: 50912,Queens Public Libary- Jackson Heights Branch,35-51,81 STREET,35-51 81 STREET,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Literacy, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
73473,,NYSOMH: 645099-7964-015,Arthur Avenue Residences/The Sydelle,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Center for Urban Community Services Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
11440,,,Houses on the Moon Theater Company,,,Po Box 247,New York,Manhattan,1,10156,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,Houses on the Moon Theater Company,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
75109,,NYCHHS: CT106820171403587,"Afro American Parents Day Care Center, Inc",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,"Afro American Parents Day Care Center, Inc",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75021,,"NYCHHS: 20151402553,20151402554,20151402556,20151402673",The Child Center Of NY,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,The Child Center Of NY,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
19890,,,"La Mama Experimental Theater Club, Inc.",,,74a East 4th Street,New York,Manhattan,1,10003,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,"La Mama Experimental Theater Club, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73912,,NYSOMH: 068099-6487-636,CCNS SH PC Long Stay Creedmoor PC/Queens Cty-Comm Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Catholic Charities Neighborhood Services Inc,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
16030,,,Highway Safety Protection Corp.,278,Woodbury Road,278 Woodbury Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Highway Safety Protection Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000042F2A7FEFB5D52C0E491F1D991694440
24291,,,"Independent Media Arts Preservation, Inc.",,,C/O Eai,New York,Manhattan,1,10011,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,New Media,,,,,,,,Non-public,"Independent Media Arts Preservation, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
3821,,NYCDYCD: 50799,Jazz Thursdays,71-58,Austin Street,71-58 Austin Street,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Forest Hills Chamber of Commerce of Queens, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
73784,,NYSOMH: 360099-7859-001,Chelsea Residence SRO,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Good Shepherd Services,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
75284,,NYCHHS: CT106820171403082,"Homes For The Homeless, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Early Learn NYC: New York City's Early Care and Education Services,,,,,,,,Non-public,"Homes For The Homeless, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
73601,,NYSOMH: 756099-9288-630,CBHS Supported Housing/Kings - Comm. Svcs,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Center for Behavioral Health Services,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24474,,,"Harriman Summer Camp, S-11",,,Feb-45 Beach 79 Street,,Queens,4,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Harriman Summer Camp, S-11",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: COMPASS Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_compass,,
73553,,NYSOMH: 000733-8062-002,Hughes Avenue SRO,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Vocational Instruction Project Comm. Svcs In,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73831,,NYSOMH: 347099-6728-432,Postgraduate Center Residence III,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Postgraduate Center for Mental Health Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
29576,,,Dyckman Job Center,4055,10th,4055 10th Ave.,New York,Manhattan,1,10034,,,,,,,,,,,Health and Human Services,Human Services,Workforce Development,Job Centers,,,,,,,,Public,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS: City,NYC Human Resources Administration/Department of Social Services,NYCHRA/DSS,NYCHRA/DSS,NYCHRA/DSS: HRA Locations,NYCHRA/DSS: https://www1.nyc.gov/site/hra/locations/locations.page,NYCHRA/DSS: 2017-02-27,hra_facilities_centers,,
21853,,NYCDYCD: 50502,Asian American Federation Of New York,120,Wall Street  9th Fl,120 Wall Street  9th Fl,New York,Manhattan,1,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Asian American Federation of New York,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
11725,,,A. Palmieri Landscaping Co. Inc,820,South Fulton Ave.,820 South Fulton Ave.,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,A. Palmieri Landscaping Co. Inc,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000B6211BE0AB7452C046DF3D4475724440
