facilityname,addressnumber,streetname,address,city,borough,facilitytype,facilitygroup,facilitysubgroup,operatortype,operatorname,operatorabbrev,oversightagency,oversightabbrev,DataSource,Dataset,DatasetType,DateLastUpdated,DateObtained,DataLink,DirectDownloadLink
Rose M. Singer Center (RMSC),"""19-19""",Hazen Street,19-19 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
West Facility (WF),"""16-06""",Hazen Street,16-06 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Elmhurst Hospital Prison Ward (EHPW),"""79-01""",Broadway,79-01 Broadway,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Bulova Building- DOC Headquarters,"""75-20""",Astoria Blvd.,75-20 Astoria Blvd.,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Queens Detention Complex (QDC),"""126-01""",82nd Avenue,126-01 82nd Avenue,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Correction Academy,"""66-26""",Metropolitan Ave.,66-26 Metropolitan Ave.,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Richmond County Clerk - NYCCOA,"""130""",Stuyvesant Place,130 Stuyvesant Place,,Staten Island,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Housing Court - Richmond County Branch,"""927""",Castleton Avenue,927 Castleton Avenue,,Staten Island,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Richmond County Grand Jury,"""18""",Richmond Terrace,18 Richmond Terrace,,Staten Island,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""777""",Seaview Avenue,777 Seaview Avenue,,Staten Island,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""1150""",Forest Hill Road,1150 Forest Hill Road,,Staten Island,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""80-45""",Winchester Blvd.,80-45 Winchester Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Queens County Jury,"""25-10""",Court Square,25-10 Court Square,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Queens County Jury,"""120-55""",Queens Blvd.,120-55 Queens Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""125-01""",Queens Boulevard,125-01 Queens Boulevard,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Chambers,"""88-11""",Sutphin Blvd.,88-11 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""88-11""",Sutphin Blvd.,88-11 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""89-17""",Sutphin Blvd.,89-17 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Queens County Grand Jury,"""89-17""",Sutphin Blvd.,89-17 Sutphin Blvd.,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""151-20""",Jamaica Avenue,151-20 Jamaica Avenue,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""79-01""",Broadway,79-01 Broadway,,Queens,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Jury Operations,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Jury Operations,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""123""",William Street,123 William Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
OCA-Executive Direction,"""25""",Beaver Street,25 Beaver Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""25""",Beaver Street,25 Beaver Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""26""",Broadway,26 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""346""",Broadway,346 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Chambers,"""41""",Madison Avenue,41 Madison Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""61""",Broadway,61 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Jury Operations,"""71""",Thomas Street,71 Thomas Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""80""",Centre Street,80 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""780""",Third Avenue,780 Third Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department-Departmental Disciplinary Comm,"""61""",Broadway,61 Broadway,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""314""",West 54th Street,314 West 54th Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""60""",Lafayette Street,60 Lafayette Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""100""",Centre Street,100 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""230""",Park Avenue,230 Park Avenue,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""122""",East 42nd Street,122 East 42nd Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Clerk - NYCCOA,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York County Grand Jury,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Court of Appeals - Chambers,"""150""",West 62nd Street,150 West 62nd Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""111""",Centre Street,111 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Chambers,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Appellate Term,"""60""",Centre Street,60 Centre Street,,Manhattan,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department,"""1""",Pierrepont Plz,1 Pierrepont Plz,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department,"""320""",Jay Street,320 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department,"""45""",Monroe Place,45 Monroe Place,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Attorney for the Child,"""335""",Adams Street,335 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Appellate Term,"""141""",Livingston Street,141 Livingston Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Judicial Election Committee,"""335""",Adams Street,335 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Civil Appeals Mgmt. Prog.-Chambers,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Services,"""120""",Schermerhorn Street,120 Schermerhorn Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department,"""195""",Montague Street,195 Montague Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""140""",58th Street,140 58th Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Supreme Court - Chambers,"""120""",Schermerhorn Street,120 Schermerhorn Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""330""",Jay Street,330 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""320""",Jay Street,320 Jay Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""141""",Livingston Street,141 Livingston Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""120""",Schermerhorn Street,120 Schermerhorn Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Kings County Grand Jury,"""360""",Adams Street,360 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""451""",Clarkson Avenue,451 Clarkson Avenue,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Character & Fitness Committee,"""335""",Adams Street,335 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Civil Appeals Management Program,"""335""",Adams Street,335 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Grievance Committee 2nd/11th JD,"""335""",Adams Street,335 Adams Street,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""760""",Broadway,760 Broadway,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""888""",Fountain Avenue,888 Fountain Avenue,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 2nd Department - Mental Hygiene Legal Service,"""681""",Clarkson Avenue,681 Clarkson Avenue,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Bronx County Grand Jury,"""851""",Grand Concourse,851 Grand Concourse,,Bronx,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""900""",Sheridan Avenue,900 Sheridan Avenue,,Bronx,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Bronx County Clerk - NYCCOA,"""851""",Grand Concourse,851 Grand Concourse,,Bronx,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Office of Court Administration,"""851""",Grand Concourse,851 Grand Concourse,,Bronx,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
New York City Criminal Court - Kings County,"""88-94""",Visitation Place,88-94 Visitation Place,,Brooklyn,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
Appellate Division 1st Department - Mental Hygiene Legal Service,"""1400""",Pelham Parkway South/NR-1S20,1400 Pelham Parkway South/NR-1S20,,Bronx,Courthouse,,,Public,New York State Unified Court System,NYCOURTS,New York State Unified Court System,NYCOURTS,NYCOURTS,The Courts,Addresses,Unknown,7/1/16,http://www.nycourts.gov/courts/index.shtml,NA
